商品,variant,sku,分類,変更対象,old_price,expected_price,new_price,compare_at,判定
フランネル ブランケット,カーキ / 150×200cm（約820g）,c913286878c0dfb3693ccb409a458ddf,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,カーキ / 180×200cm（約950g）,dfb471855e0606419c6bef5bc00359fb,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,ブルーグレー / 100×150cm（約390g）,1197ee2cdeea09dccfbb51439b8b4f15,MULTI_BUY,YES,3480,2980,2980,,match
フランネル ブランケット,ブルーグレー / 150×200cm（約820g）,1d3ecc01bf4ae9cd69951920a662f826,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,ブルーグレー / 180×200cm（約950g）,4a3bc10f14e4c1ce6cd037cf909d4291,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,オフホワイト / 100×150cm（約390g）,55440b7f0d45a7a0fc14e08952a8d76d,MULTI_BUY,YES,3480,2980,2980,,match
フランネル ブランケット,オフホワイト / 150×200cm（約820g）,e47a06781d253236d1113288a722b998,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,オフホワイト / 180×200cm（約950g）,b6363a92b7a64b03eed32322b6515cb2,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,カラメル / 100×150cm（約390g）,e90ba25225f6287e4549dd2772c7dfbe,MULTI_BUY,YES,3480,2980,2980,,match
フランネル ブランケット,カラメル / 150×200cm（約820g）,db3b3aeed211745fd805473087efb4c0,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,カラメル / 180×200cm（約950g）,5007adb61e1ed4a493a48f67b171aa22,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,フォググレー / 100×150cm（約390g）,c4584d40eeed582143775e8ec675c943,MULTI_BUY,YES,3480,2980,2980,,match
フランネル ブランケット,フォググレー / 150×200cm（約820g）,142eb05285cad0a4ab99342734d5801d,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,フォググレー / 180×200cm（約950g）,bdfedfa8a7216b2b44d2c1f39498225e,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,ライトグレー / 100×150cm（約390g）,0aeadce8618637984c4ccdd619804b74,MULTI_BUY,YES,3480,2980,2980,,match
フランネル ブランケット,ライトグレー / 150×200cm（約820g）,0d4d0b49ecfad1aa9d9eecfa80d87361,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,ライトグレー / 180×200cm（約950g）,128863319c7884484770419caa56efa9,MULTI_BUY,YES,4480,3980,3980,,match
フランネル ブランケット,イエロー / 100×150cm（約390g）,d6bdcee64f5750d6950fab1173e82c0f,MULTI_BUY,YES,3480,2980,2980,,match
